ID,Name,Team,Pos,Price,16_pts_no_prob,16_prob,16_with_prob
675,Wilson-Esbrand,MCI,DEF,4,1.99089,0.05457,0.10864
676,Marsh,CRY,FWD,4.5,1.51576,0.05289,0.08018
677,Scarles,WHU,DEF,4,2.19802,0.00058,0.00128
678,Bates,EVE,MID,4.5,1.61993,0.10195,0.16516
679,Broggio,AVL,MID,4.5,1.77868,0.08263,0.14696
680,Kinsey,BOU,DEF,4,2.09811,0.00074,0.00155
681,McConville,BHA,DEF,4,2.01908,0.10351,0.209
682,Edozie,WOL,MID,4.5,1.83478,0.096,0.17614
683,Olusesi,TOT,MID,4.5,2.06289,0.07574,0.15625
684,Hardy,TOT,DEF,4,2.17397,0.08813,0.1916
685,Slater,BHA,DEF,4,2.02318,0.14304,0.28939
686,Mayers,WHU,DEF,4,2.20706,0.15075,0.33271
687,Winterburn,BOU,MID,4.5,1.92404,0.13166,0.25331
688,Nyoni,LIV,MID,4.5,1.78656,0.00013,0.00024
689,Williams-Barnett,TOT,MID,4.5,2.07182,0.1022,0.21174
690,Amissah,FUL,DEF,4,2.45397,0.14132,0.34679
691,Kukonki,MUN,DEF,4,2.56598,0.16293,0.41806
692,Nallo,LIV,DEF,4,2.04096,0.00839,0.01712
693,O'Brien-Whitmarsh,SOU,MID,4.5,1.80526,0.21751,0.39266
